timestamp,cps,cps_err,usv_hr
1776898169.611353,9.0,2.1213203435596424,0.112806
1776898171.6175292,5.0,1.5811388300841898,0.06267
1776898173.6470432,5.5,1.6583123951777,0.068937
1776898175.7007623,7.5,1.9364916731037085,0.094005
1776898177.6986973,7.0,1.8708286933869707,0.087738
1776898179.6892378,4.5,1.5,0.056403
1776898181.7541437,5.5,1.6583123951777,0.068937
1776898183.7274137,6.5,1.8027756377319946,0.081471
1776898185.7455537,6.0,1.7320508075688772,0.075204
1776898187.7743332,5.5,1.6583123951777,0.068937
1776898189.814855,6.5,1.8027756377319946,0.081471
1776898191.8398557,5.0,1.5811388300841898,0.06267
1776898193.8677292,6.5,1.8027756377319946,0.081471
1776898195.8711534,6.0,1.7320508075688772,0.075204
1776898197.870373,7.5,1.9364916731037085,0.094005
1776898199.916592,3.5,1.3228756555322954,0.043869
1776898201.938593,11.0,2.345207879911715,0.137874
1776898203.9691591,7.0,1.8708286933869707,0.087738
1776898205.9612465,5.5,1.6583123951777,0.068937
1776898207.9994447,7.0,1.8708286933869707,0.087738
1776898210.032725,4.0,1.4142135623730951,0.050136
1776898212.067088,7.0,1.8708286933869707,0.087738
1776898214.0449963,6.0,1.7320508075688772,0.075204
1776898216.0854964,8.0,2.0,0.100272
1776898218.0765576,8.5,2.0615528128088303,0.106539
1776898220.10111,4.0,1.4142135623730951,0.050136
1776898222.1319785,4.5,1.5,0.056403
1776898224.1523297,6.5,1.8027756377319946,0.081471
1776898226.1356106,6.0,1.7320508075688772,0.075204
1776898228.199991,4.5,1.5,0.056403
1776898230.1679056,7.5,1.9364916731037085,0.094005
1776898232.2652109,4.5,1.5,0.056403
1776898234.2331367,7.0,1.8708286933869707,0.087738
1776898236.2389019,4.0,1.4142135623730951,0.050136
1776898238.255347,6.5,1.8027756377319946,0.081471
1776898240.2895455,4.5,1.5,0.056403
1776898242.344217,6.0,1.7320508075688772,0.075204
1776898244.328918,8.0,2.0,0.100272
1776898246.3680985,5.5,1.6583123951777,0.068937
1776898248.368322,4.0,1.4142135623730951,0.050136
1776898250.3729405,7.0,1.8708286933869707,0.087738
1776898252.3995066,7.0,1.8708286933869707,0.087738
1776898254.4357154,9.0,2.1213203435596424,0.112806
1776898256.4326522,5.5,1.6583123951777,0.068937
1776898258.4493334,7.0,1.8708286933869707,0.087738
