timestamp,latitude,longitude,accuracy
1776898447.2036424,37.87597995452782,-122.2590097808405,19.99999909886694
1776898447.212212,37.87597995452782,-122.2590097808405,19.99999909886694
1776898447.2213037,37.87597995452782,-122.2590097808405,142.195014
1776898447.2471113,37.87598066345552,-122.25901098709113,830.8288633279659
1776898447.7672768,37.875979686093466,-122.259012202425,19.994215671701923
1776898453.896613,37.87597981573922,-122.25901242404946,355.7801476973575
1776898453.9053366,37.875979815739214,-122.25901242404946,355.781994637651
1776898454.2514555,37.875977004960816,-122.259024365974,19.96857825601192
1776898460.6786456,37.875979640847945,-122.25901380651894,19.971218356750494
1776898467.1353586,37.87598011541118,-122.25900439767234,19.971484058548924
1776898473.552871,37.875980885162576,-122.25900331651225,19.971200410961142
1776898480.053665,37.87593933296046,-122.25886331319946,19.971865674216303
1776898486.7187068,37.875928494664144,-122.25885342845295,19.97319172221714
1776898493.262372,37.87592054779442,-122.25877354875198,19.972231068332043
1776898499.8731432,37.87588600903493,-122.25879164215132,19.972665495973654
1776898506.745645,37.87588755784176,-122.25889203405642,19.974742320755215
1776898513.322797,37.87586268977899,-122.25905450375544,19.972496318191382
1776898519.9133852,37.87585816266638,-122.25905038028682,19.972601648189166
1776898526.5147161,37.87585154365059,-122.25910264195737,19.972749918525505
1776898533.117878,37.8758599247238,-122.25909426165691,19.972629881156372
1776898539.7308183,37.87586338485725,-122.259134888852,19.972800772011684
1776898546.261441,37.875763269236,-122.2592242835513,19.972139508760698
1776898552.9359367,37.875670390898925,-122.25934326854754,22.95930117764363
1776898559.4501035,37.87568787379508,-122.25935603242314,22.95758057881036
1776898562.7280324,37.875687947143554,-122.25935612159591,193.48284299406197
1776898562.7303207,37.875687947143554,-122.25935612159591,193.48301706708332
1776898566.062814,37.875558137841,-122.2594287549714,34.72261079650045
1776898570.3945923,37.87555289328938,-122.25942975069931,255.1664497907849
1776898570.399929,37.87555289328935,-122.25942975069931,255.1670264348774
1776898572.6670449,37.875583362290314,-122.25933757695033,22.911357090126742
1776898579.2684917,37.87553726211012,-122.25935527251936,24.883031449171668
1776898580.9222057,37.875493731864694,-122.25924591078135,21.924929705639045
1776898587.5009387,37.87544922565096,-122.25925941392835,16.22775390121139
1776898594.0969582,37.87541234375828,-122.25919043892758,14.241039333751134
1776898595.5744073,37.87540019670029,-122.25921135408554,15.791785718568981
1776898610.3987982,37.87542361209984,-122.25931060601366,17.285454722101914
1776898617.109668,37.875427297531246,-122.25930746530972,25.767157797661547
1776898617.117836,37.875427297531246,-122.25930746530972,25.767300480540186
1776898617.1534145,37.87547870702252,-122.2592847386268,15.799634651790381
1776898618.8878295,37.875496931105715,-122.25927819477887,17.39389133657619
1776898620.4838064,37.87550293513821,-122.25927577096812,18.00304571521336
1776898620.4951944,37.875502976707274,-122.25927575418635,18.003157189013052
1776898624.0605373,37.87549385710555,-122.2592014246463,15.71579843975377
1776898627.9208472,37.8754876295289,-122.25914979398094,18.865572800101326
1776898627.9262047,37.87548762266928,-122.25914967711103,18.865659636891287
1776898630.653423,37.875541371825776,-122.25913481496455,16.006011246719524
1776898637.2355156,37.87555392791983,-122.25913169477579,14.600058433762657
1776898643.842169,37.87552363973982,-122.25910134402112,17.82694668183451
1776898650.4250638,37.875612387374694,-122.25911698478951,26.932538045497584
1776898652.2028513,37.87558646932729,-122.25911584248458,25.999943900587603
1776898658.5469534,37.87564183164636,-122.25913538507766,26.92726646620551
