elapsedTime,cps,totalCount,totalInts
5.72E-06,27,257675,6607
10.00851798,33,257976,6617
20.01424909,25,258300,6627
30.02256322,29,258589,6637
40.03078079,27,258907,6647
50.03890157,25,259159,6656
60.04794574,31,259467,6666
70.05689692,28,259768,6676
80.06574774,31,260088,6686
90.07451391,34,260409,6696
100.0822814,35,260712,6706
110.0908408,33,261032,6716
120.0993233,32,261362,6726
