time,particles 03um,particles 05um,particles 10um,particles 25um,particles 50um,particles 100um,Temperature C,Gas Ohm,Humidity %%,Pressure hPa,Altitude meters
1771457499.5806303,174,55,7,2,0,0,34.20578125,439910,100,722.9113071253112,2758.687266796297
1771457500.591405,174,55,7,2,0,0,22.2923046875,66523,37.42323682088988,1003.9474701372446,77.73939792107522
1771457501.6021914,174,55,7,2,0,0,22.3346875,74448,37.39815449360279,1003.9487787949313,77.72842078390804
1771457502.6129842,147,47,4,2,0,0,22.38625,84515,37.36226868191603,1003.9431154958617,77.7759251240549
1771457503.6243367,147,47,4,2,0,0,22.436640625,96787,37.31455367516963,1003.9409973351733,77.79369253141543
1771457504.6364696,147,47,4,2,0,0,22.4841015625,107208,37.26655647282433,1003.9432190632803,77.77505638785286
1771457505.647288,156,44,3,2,0,0,22.5270703125,116799,37.20641183634771,1003.9454390910261,77.75643454049991
1771457506.658109,156,44,3,2,0,0,22.5659375,126254,37.175145084566935,1003.9464735393268,77.74775748089404
1771457507.6692526,156,44,3,2,0,0,22.60265625,134030,37.13781546773893,1003.9440278104303,77.76827252014402
1771457508.6800854,171,46,4,2,0,0,22.6372265625,141794,37.1295411874397,1003.9417387889786,77.78747311700546
1771457509.6909122,171,46,4,2,0,0,22.6675,148734,37.15596292538599,1003.9288611014551,77.89549342356474
1771457510.7027674,171,46,4,2,0,0,22.69484375,155698,37.193812592254595,1003.940335872728,77.79924097066083
1771457511.7145925,186,51,5,2,0,0,22.71984375,161697,37.21972687637591,1003.9298351476447,77.88732291369062
1771457512.7268975,186,51,5,2,0,0,22.7425,167379,37.26884996149818,1003.9300901671224,77.88518375627704
1771457513.7390902,186,51,5,2,0,0,22.7622265625,172794,37.30597778034597,1003.931062866853,77.87702454887557
1771457514.7536435,195,53,4,1,0,0,22.7805859375,178210,37.337118118289744,1003.924368141604,77.9331814245667
1771457515.7657773,195,53,4,1,0,0,22.79640625,188865,37.29766617226154,1003.9226607044775,77.94750384345176
1771457516.7779555,195,53,4,1,0,0,22.8118359375,193290,37.25232416377001,1003.9275954350591,77.90611011632764
1771457517.790118,222,60,3,0,0,0,22.8258984375,198493,37.20099967018241,1003.9321382368004,77.86800412981673
1771457518.802191,222,60,3,0,0,0,22.8368359375,202317,37.108395146055855,1003.9370856447324,77.82650437940656
1771457519.8143609,222,60,3,0,0,0,22.8473828125,206292,37.01580435036623,1003.9395825288834,77.80556012750523
1771457520.826372,228,59,4,0,0,0,22.85578125,210297,36.90551276676983,1003.9258748258914,77.92054298816718
1771457521.837688,228,59,4,0,0,0,22.863203125,214462,36.812729209864216,1003.9069504486027,78.07928640951842
1771457522.8497753,228,59,4,0,0,0,22.8690625,217150,36.69648871069076,1003.8909566624436,78.21344903207788
1771457523.8609169,219,56,4,0,0,0,22.874140625,220887,36.58609173383204,1003.8664243870976,78.41923946574491
1771457524.8729784,219,56,4,0,0,0,22.88,224318,36.48751038903137,1003.8467919484423,78.58393026464486
1771457525.8850439,219,56,4,0,0,0,22.884296875,226370,36.37135722670268,1003.8100828496921,78.89187917923901
1771457526.897162,228,56,5,0,0,0,22.8872265625,228308,36.26680192094726,1003.7802583542522,79.14208056712154
1771457527.9093008,228,56,5,0,0,0,22.8903515625,231976,36.16233620204158,1003.7525680846524,79.37438305866716
1771457528.9214687,228,56,5,0,0,0,22.892890625,234013,36.06369878778817,1003.7239307241597,79.6146364556311
1771457529.9335515,243,61,5,0,0,0,22.8950390625,237216,35.98252088339711,1003.7055754087907,79.76863146012504
1771457530.9457386,243,61,5,0,0,0,22.8958203125,238522,35.8722127331825,1003.6886486700771,79.91064320155282
1771457531.9579315,243,61,5,0,0,0,22.8969921875,240509,35.79104163969694,1003.6814476306811,79.97105898007511
1771457532.9687588,285,70,5,0,0,0,22.8966015625,241011,35.692359927328496,1003.6589895112047,80.15948191879632
1771457533.9794614,285,70,5,0,0,0,22.897578125,245102,35.622861425770445,1003.6205513081215,80.4819851944271
1771457534.990745,285,70,5,0,0,0,22.8966015625,246672,35.541616706998134,1003.591689838509,80.72414456808339
1771457536.0015607,306,81,5,0,0,0,22.89640625,249155,35.48365976735782,1003.5622717669595,80.9709798595809
1771457537.0122662,306,81,5,0,0,0,22.8950390625,249873,35.425612861716765,1003.52732269476,81.26423118359638
1771457538.0243506,306,81,5,0,0,0,22.8940625,250415,35.35604981822991,1003.49846154181,81.5064061158821
