time,temperature,gas,humidity,pressure,altitude,pm10standard,pm25standard,pm100standard,pm10env,pm25env,pm100 env,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 18 15:16:20 2026,15.583124999999999,168173,38.502101945033544,1003.322320512327,82.98453383624188,1,2,2,1,2,2,363,104,25,2,0,0
Wed Feb 18 15:16:21 2026,15.5696484375,169534,38.51236277829129,1003.3341891958127,82.88492846354353,1,2,2,1,2,2,363,104,25,2,0,0
Wed Feb 18 15:16:22 2026,15.558515624999998,169878,38.511244593174055,1003.3328162556205,82.89645051992791,1,2,2,1,2,2,363,104,25,2,0,0
Wed Feb 18 15:16:23 2026,15.5434765625,169192,38.52715636434266,1003.3506532448699,82.74675905355187,2,3,3,2,3,3,444,125,26,2,0,0
Wed Feb 18 15:16:24 2026,15.528046875000001,168851,38.52560651773847,1003.3524159824333,82.73196593570833,2,3,3,2,3,3,444,125,26,2,0,0
Wed Feb 18 15:16:25 2026,15.517695312499999,169192,38.530374374403365,1003.3557670897212,82.70384307513334,2,3,3,2,3,3,444,125,26,2,0,0
Wed Feb 18 15:16:26 2026,15.50734375,169021,38.54095009917261,1003.3436952178627,82.8051519066929,2,3,3,2,3,3,477,131,29,3,1,0
Wed Feb 18 15:16:27 2026,15.493085937499998,169192,38.56275061276672,1003.369680514374,82.58708090005015,2,3,3,2,3,3,477,131,29,3,1,0
Wed Feb 18 15:16:28 2026,15.465742187499998,171268,38.69946379321514,1003.4253073919452,82.12027038139875,2,3,3,2,3,3,477,131,29,3,1,0
Wed Feb 18 15:16:29 2026,15.434687499999999,172325,38.80100595332719,1003.4730410770364,81.71971478596669,2,3,4,2,3,4,513,146,34,3,1,0
Wed Feb 18 15:16:30 2026,15.413789062500001,173755,38.956026899501715,1003.5102450183615,81.40752987549692,2,3,4,2,3,4,513,146,34,3,1,0
Wed Feb 18 15:16:31 2026,15.395234375000001,175026,38.80284135992503,1003.5342100090195,81.20644032498045,2,3,4,2,3,4,513,146,34,3,1,0
Wed Feb 18 15:16:32 2026,15.377070312499999,175026,38.6498535522849,1003.5502555498875,81.0718048241353,2,4,4,2,4,4,549,156,37,3,1,0
Wed Feb 18 15:16:33 2026,15.3637890625,175761,38.59042200046791,1003.5521490133542,81.055917197822,2,4,4,2,4,4,549,156,37,3,1,0
Wed Feb 18 15:16:34 2026,15.353046875,177625,38.44420109664159,1003.5634048176529,80.96147277516818,2,4,4,2,4,4,549,156,37,3,1,0
Wed Feb 18 15:16:35 2026,15.336054687499999,178002,38.326487986173774,1003.5676892645082,80.92552336079031,2,4,5,2,4,5,588,163,34,4,1,0
Wed Feb 18 15:16:36 2026,15.325703125,178191,38.15160230084171,1003.5967241705746,80.68190408504087,2,4,5,2,4,5,588,163,34,4,1,0
Wed Feb 18 15:16:37 2026,15.306953125,178762,38.03973616985122,1003.6220644220803,80.46928971343057,2,4,5,2,4,5,588,163,34,4,1,0
Wed Feb 18 15:16:38 2026,15.2864453125,178762,37.97405519752504,1003.6479032556738,80.25249652376496,2,4,4,2,4,4,606,165,32,3,1,0
Wed Feb 18 15:16:39 2026,15.262812499999999,180496,37.60771637976037,1003.654835496515,80.19433434970607,2,4,4,2,4,4,606,165,32,3,1,0
Wed Feb 18 15:16:40 2026,15.232539062499999,178762,37.52397542978968,1003.6575675322258,80.17141239406205,2,4,4,2,4,4,606,165,32,3,1,0
Wed Feb 18 15:16:41 2026,15.1809765625,180690,37.47279229906783,1003.6574151709958,80.17269071326575,3,4,5,3,4,5,633,171,36,4,1,0
Wed Feb 18 15:16:42 2026,15.120625,180886,37.54184128092271,1003.6511889288669,80.22492936595418,3,4,5,3,4,5,633,171,36,4,1,0
Wed Feb 18 15:16:43 2026,15.081953124999998,180108,37.67651716544885,1003.6587632339782,80.1613803952125,3,4,5,3,4,5,633,171,36,4,1,0
Wed Feb 18 15:16:44 2026,15.056757812499999,181473,37.71444899868221,1003.6784831033711,79.99593107838744,2,4,5,2,4,5,612,164,36,4,1,0
Wed Feb 18 15:16:45 2026,15.0102734375,181277,37.640624585243714,1003.6867404685665,79.92665272842687,2,4,5,2,4,5,612,164,36,4,1,0
Wed Feb 18 15:16:46 2026,14.984101562500001,183260,37.557302645317,1003.69626256085,79.84676403571363,2,4,5,2,4,5,612,164,36,4,1,0
Wed Feb 18 15:16:47 2026,14.959296875,183060,37.474166399971445,1003.7012077379555,79.80527510481276,2,4,5,2,4,5,627,164,38,5,1,0
Wed Feb 18 15:16:48 2026,14.935078125,183662,37.414180613025174,1003.6865798109407,79.92800062313627,2,4,5,2,4,5,627,164,38,5,1,0
Wed Feb 18 15:16:49 2026,14.867304687499999,184471,37.37877309072591,1003.6799171979577,79.98389915564171,2,4,5,2,4,5,627,164,38,5,1,0
Wed Feb 18 15:16:50 2026,14.807539062499998,184268,37.29811307141134,1003.6591776596437,80.1579033449408,2,4,5,2,4,5,648,170,36,5,1,0
Wed Feb 18 15:16:51 2026,14.781171874999998,185083,37.17474084633374,1003.637538763945,80.33945622290719,2,4,5,2,4,5,648,170,36,5,1,0
Wed Feb 18 15:16:52 2026,14.768671874999999,184879,37.11603612875471,1003.6081726751987,80.58584622798303,2,4,5,2,4,5,648,170,36,5,1,0
Wed Feb 18 15:16:53 2026,14.754023437499999,185288,37.07438727985031,1003.594058631396,80.70426922770685,2,5,5,2,5,5,624,168,36,5,1,0
Wed Feb 18 15:16:54 2026,14.728632812499999,183260,37.03745907845591,1003.5826013661921,80.80040168479518,2,5,5,2,5,5,624,168,36,5,1,0
Wed Feb 18 15:16:55 2026,14.702851562500001,184066,37.04645891550917,1003.5704918971121,80.90200744002551,2,5,5,2,5,5,624,168,36,5,1,0
Wed Feb 18 15:16:57 2026,14.673945312499999,185083,37.06664798417589,1003.5634467334072,80.96112107296621,3,5,5,3,5,5,654,176,39,5,0,0
Wed Feb 18 15:16:58 2026,14.6489453125,185083,37.06423323593029,1003.5577674224648,81.00877453281385,3,5,5,3,5,5,654,176,39,5,0,0
Wed Feb 18 15:16:59 2026,14.625703125000001,185493,37.0907165290245,1003.558434718853,81.00317542998785,3,5,5,3,5,5,654,176,39,5,0,0
Wed Feb 18 15:17:00 2026,14.6118359375,184066,37.36542973000588,1003.5781298968789,80.83791989584918,4,6,6,4,6,6,945,234,37,5,0,0
Wed Feb 18 15:17:01 2026,14.610273437499998,184879,37.376790882011726,1003.5823735300801,80.80231335814302,4,6,6,4,6,6,945,234,37,5,0,0
Wed Feb 18 15:17:02 2026,14.606953125,185083,37.48012334328251,1003.5990916854835,80.6620395482079,4,6,6,4,6,6,945,234,37,5,0,0
Wed Feb 18 15:17:03 2026,14.57375,185288,37.47688943528004,1003.6088360395453,80.58028034419806,3,6,6,3,6,6,912,224,34,4,0,0
Wed Feb 18 15:17:04 2026,14.539960937499998,184879,37.54849487640423,1003.6073325899692,80.5928948726931,3,6,6,3,6,6,912,224,34,4,0,0
Wed Feb 18 15:17:05 2026,14.5200390625,185588,37.598422494838985,1003.6220703594119,80.46923989746591,3,6,6,3,6,6,912,224,34,4,0,0
Wed Feb 18 15:17:06 2026,14.516328125000001,184879,37.655713582869765,1003.6312902691203,80.39188241857512,3,5,5,3,5,5,858,214,33,3,0,0
Wed Feb 18 15:17:07 2026,14.526875,186111,37.70288330664185,1003.635163815266,80.35938251445418,3,5,5,3,5,5,858,214,33,3,0,0
Wed Feb 18 15:17:08 2026,14.5462109375,185902,37.704774804371645,1003.6262943645685,80.4337993065535,3,5,5,3,5,5,858,214,33,3,0,0
Wed Feb 18 15:17:09 2026,14.576093749999998,185083,37.77694076252976,1003.6144494522882,80.533181756498,3,5,5,3,5,5,819,208,30,3,0,0
Wed Feb 18 15:17:10 2026,14.59796875,185698,37.68676515739368,1003.6063794293214,80.60089227031996,3,5,5,3,5,5,819,208,30,3,0,0
Wed Feb 18 15:17:11 2026,14.610273437499998,185288,37.803380640476014,1003.6063308772762,80.60129964148713,3,5,5,3,5,5,819,208,30,3,0,0
Wed Feb 18 15:17:12 2026,14.610273437499998,185493,37.86689388430059,1003.6063308772762,80.60129964148713,3,4,4,3,4,4,774,198,26,2,0,0
Wed Feb 18 15:17:13 2026,14.5883984375,185288,37.893622344450804,1003.5972904261298,80.67715293755636,3,4,4,3,4,4,774,198,26,2,0,0
Wed Feb 18 15:17:14 2026,14.575117187499998,184963,37.99053688742006,1003.5820228750382,80.80525555219499,3,4,4,3,4,4,774,198,26,2,0,0
Wed Feb 18 15:17:15 2026,14.551484375000001,186112,37.878445099422436,1003.5751869356717,80.86261311461384,3,4,4,3,4,4,720,183,23,2,0,0
Wed Feb 18 15:17:16 2026,14.506171875,185797,37.93175240310672,1003.5647611459981,80.95009224718798,3,4,4,3,4,4,720,183,23,2,0,0
Wed Feb 18 15:17:17 2026,14.454999999999998,186534,38.06541287479948,1003.5479930603775,81.09078889684916,3,4,4,3,4,4,720,183,23,2,0,0
Wed Feb 18 15:17:18 2026,14.422773437499998,186218,38.07380110371155,1003.5268375306014,81.26830216622074,3,3,3,3,3,3,666,170,20,1,0,0
Wed Feb 18 15:17:19 2026,14.398359374999998,186958,38.08295922921143,1003.5067137303049,81.43716114117474,3,3,3,3,3,3,666,170,20,1,0,0
Wed Feb 18 15:17:20 2026,14.371210937499999,187064,38.14389110950658,1003.4922993263118,81.55811420979995,3,3,3,3,3,3,666,170,20,1,0,0
Wed Feb 18 15:17:21 2026,14.343867187499999,186852,38.175898495289665,1003.4775576565321,81.6818148616644,2,3,3,2,3,3,600,152,19,1,0,0
Wed Feb 18 15:17:22 2026,14.301484375000001,188888,38.16593516763902,1003.4514542418028,81.90085806891774,2,3,3,2,3,3,600,152,19,1,0,0
Wed Feb 18 15:17:23 2026,14.254804687499998,185484,38.21917745330274,1003.4267424242514,82.1082281316501,2,3,3,2,3,3,600,152,19,1,0,0
Wed Feb 18 15:17:24 2026,14.208515625,187277,38.255111266992955,1003.4009649263339,82.32454529415871,2,2,2,2,2,2,534,130,15,1,0,0
Wed Feb 18 15:17:25 2026,14.173359375,185797,38.361613658172985,1003.3851713702529,82.4570823833661,2,2,2,2,2,2,534,130,15,1,0,0
Wed Feb 18 15:17:26 2026,14.144453124999998,187918,38.52674721156919,1003.3609728247657,82.66015612548019,2,2,2,2,2,2,534,130,15,1,0,0
Wed Feb 18 15:17:27 2026,14.113203124999998,188888,38.645402782707336,1003.3397091971273,82.83860336513075,2,2,2,2,2,2,513,122,6,0,0,0
Wed Feb 18 15:17:28 2026,14.088984374999999,186534,38.78225379122878,1003.321603998574,82.99054705429958,2,2,2,2,2,2,513,122,6,0,0,0
Wed Feb 18 15:17:29 2026,14.06671875,187064,38.82647999805316,1003.2947818684189,83.21564965553627,2,2,2,2,2,2,513,122,6,0,0,0
Wed Feb 18 15:17:30 2026,14.046015624999999,187918,38.8650644429232,1003.2739810454445,83.3902222682465,0,0,0,0,0,0,159,43,3,1,0,0
Wed Feb 18 15:17:31 2026,14.025507812499999,189649,38.92110406615848,1003.253504954098,83.56207240651663,0,0,0,0,0,0,159,43,3,1,0,0
Wed Feb 18 15:17:32 2026,14.0012890625,188240,38.889641004276086,1003.2336865283446,83.72840564503574,0,0,0,0,0,0,159,43,3,1,0,0
Wed Feb 18 15:17:33 2026,13.973554687499998,188563,38.927534595102756,1003.213140595952,83.90084755252836,0,0,0,0,0,0,138,37,2,1,0,0
Wed Feb 18 15:17:34 2026,13.940546874999999,190417,38.90681296259905,1003.1974859429097,84.03223889643495,0,0,0,0,0,0,138,37,2,1,0,0
Wed Feb 18 15:17:35 2026,13.901289062499998,189105,38.94936736959044,1003.1782560672409,84.1936397764625,0,0,0,0,0,0,138,37,2,1,0,0
Wed Feb 18 15:17:36 2026,13.851875,190087,38.95605433368352,1003.1745809240439,84.22448640488392,0,0,0,0,0,0,120,32,2,1,0,0
Wed Feb 18 15:17:37 2026,13.802851562499999,190307,38.974400771653734,1003.1578736387349,84.36471703903338,0,0,0,0,0,0,120,32,2,1,0,0
Wed Feb 18 15:17:38 2026,13.763789062499999,191524,38.97050354490307,1003.1372428164229,84.53788202890004,0,0,0,0,0,0,120,32,2,1,0,0
Wed Feb 18 15:17:39 2026,13.7180859375,191859,39.01242344670877,1003.1209259137552,84.67484013824544,0,0,0,0,0,0,105,27,1,1,0,0
Wed Feb 18 15:17:40 2026,13.671601562500001,192532,38.97292993717494,1003.1050094289328,84.8084390247237,0,0,0,0,0,0,105,27,1,1,0,0
Wed Feb 18 15:17:41 2026,13.635664062499998,192870,39.010012104443206,1003.0895692050758,84.93804193913505,0,0,0,0,0,0,105,27,1,1,0,0
Wed Feb 18 15:17:42 2026,13.60578125,193209,38.977988642024286,1003.0688345635631,85.11208793934175,0,0,0,0,0,0,99,25,1,1,0,0
Wed Feb 18 15:17:43 2026,13.578046874999998,193550,38.986842796911986,1003.0414261639587,85.34215774854975,0,0,0,0,0,0,99,25,1,1,0,0
Wed Feb 18 15:17:44 2026,13.55109375,193096,39.01320183293109,1003.025568614351,85.47527048687719,0,0,0,0,0,0,99,25,1,1,0,0
Wed Feb 18 15:17:45 2026,13.522187500000001,192983,39.039369254101196,1003.0184136811387,85.53533156960819,0,0,0,0,0,0,99,25,1,1,0,0
Wed Feb 18 15:17:46 2026,13.4878125,194120,39.0882386768041,1003.0158107042967,85.55718197947041,0,0,0,0,0,0,99,25,1,1,0,0
Wed Feb 18 15:17:47 2026,13.4544140625,193778,39.084908506397554,1002.9840832809615,85.8235181216248,0,0,0,0,0,0,99,25,1,1,0,0
Wed Feb 18 15:17:48 2026,13.425898437499999,192757,39.12274679123523,1002.958781078562,86.03592257795519,0,0,0,0,0,0,99,25,1,1,0,0
Wed Feb 18 15:17:49 2026,13.3977734375,190087,39.20133035031429,1002.942668278934,86.17118699507171,0,0,0,0,0,0,99,25,1,1,0,0
Wed Feb 18 15:17:50 2026,13.371210937499999,189868,39.373215024133,1002.9223249858683,86.34196825201118,0,0,0,0,0,0,99,25,1,1,0,0
Wed Feb 18 15:17:51 2026,13.3430859375,190747,39.545119650447816,1002.9113319028162,86.43425597965391,0,0,0,0,0,0,102,26,2,1,0,0
Wed Feb 18 15:17:52 2026,13.319453124999999,191635,39.74098930776722,1002.8958664391664,86.56409105273853,0,0,0,0,0,0,102,26,2,1,0,0
Wed Feb 18 15:17:53 2026,13.296796874999998,192644,39.83207777870916,1002.8649495892668,86.82364787669393,0,0,0,0,0,0,102,26,2,1,0,0
Wed Feb 18 15:17:54 2026,13.276093750000001,192419,39.8825308616474,1002.838994442544,87.04155462145908,0,0,0,0,0,0,123,26,2,1,0,0
Wed Feb 18 15:17:55 2026,13.2563671875,193892,39.98567465838026,1002.8317421963042,87.10244175775267,0,0,0,0,0,0,123,26,2,1,0,0
Wed Feb 18 15:17:56 2026,13.236249999999998,194579,40.04791976702847,1002.811884981709,87.26915729990758,0,0,0,0,0,0,123,26,2,1,0,0
Wed Feb 18 15:17:57 2026,13.216914062499999,194925,40.127808570269075,1002.8018664002257,87.35327148324725,0,0,0,0,0,0,69,13,2,1,0,0
Wed Feb 18 15:17:58 2026,13.199335937499999,195736,40.18451134473983,1002.7862383326053,87.48448324792426,0,0,0,0,0,0,69,13,2,1,0,0
Wed Feb 18 15:17:59 2026,13.184492187499998,195156,40.218104432853245,1002.7717508637401,87.60612013317686,0,0,0,0,0,0,69,13,2,1,0,0
Wed Feb 18 15:18:00 2026,13.166718750000001,195040,40.257257509462264,1002.7489670332246,87.7974162047338,0,0,0,0,0,0,69,13,2,1,1,1
Wed Feb 18 15:18:01 2026,13.151289062499998,193550,40.33178338453269,1002.7454540250426,87.82691220185852,0,0,0,0,0,0,69,13,2,1,1,1
Wed Feb 18 15:18:02 2026,13.1399609375,192870,40.436051165542615,1002.72657938952,87.98538926725482,0,0,0,0,0,0,69,13,2,1,1,1
Wed Feb 18 15:18:03 2026,13.130390625,193323,40.552289952820544,1002.7106336632119,88.11927622019311,0,0,0,0,0,0,96,17,2,1,1,1
Wed Feb 18 15:18:04 2026,13.1216015625,194349,40.698029988419584,1002.68916073957,88.29957454567874,0,0,0,0,0,0,96,17,2,1,1,1
Wed Feb 18 15:18:05 2026,13.1040234375,194694,40.831249295571816,1002.6615803956287,88.53115867470231,0,0,0,0,0,0,96,17,2,1,1,1
Wed Feb 18 15:18:06 2026,13.089570312500001,195271,40.92375654579682,1002.6528640613916,88.60434827162054,0,0,0,0,0,0,93,16,2,1,1,1
Wed Feb 18 15:18:07 2026,13.067890625,195156,40.98029446430587,1002.6423492139977,88.69264036752138,0,0,0,0,0,0,93,16,2,1,1,1
Wed Feb 18 15:18:08 2026,13.0540234375,194809,41.043536594418825,1002.6226583833572,88.85798427091784,0,0,0,0,0,0,93,16,2,1,1,1
Wed Feb 18 15:18:09 2026,13.043867187499998,194579,41.113068145572086,1002.6023224460888,89.02874789455399,0,0,0,0,0,0,108,19,2,1,1,1
Wed Feb 18 15:18:10 2026,13.0180859375,195271,41.25164985077825,1002.5815579000056,89.20311349835272,0,0,0,0,0,0,108,19,2,1,1,1
Wed Feb 18 15:18:11 2026,12.9848828125,194809,41.36011077094316,1002.5569603557658,89.40966962534004,0,0,0,0,0,0,108,19,2,1,1,1
Wed Feb 18 15:18:12 2026,12.948359374999999,196202,41.50366694524772,1002.5421891541233,89.53371171173858,0,0,0,0,0,0,114,21,2,1,1,1
Wed Feb 18 15:18:13 2026,12.910859375000001,196788,41.52924829325482,1002.5223732069019,89.70011968777357,0,0,0,0,0,0,114,21,2,1,1,1
Wed Feb 18 15:18:14 2026,12.887812499999999,196436,41.792433868465835,1002.5095705333267,89.80763385488692,0,0,0,0,0,0,114,21,2,1,1,1
Wed Feb 18 15:18:15 2026,12.846406250000001,196788,41.646415980763166,1002.500304320029,89.88545026393032,0,0,1,0,0,1,153,33,3,1,1,1
Wed Feb 18 15:18:17 2026,12.799531250000001,197024,41.6887409758065,1002.4989823871432,89.89655172541275,0,0,1,0,0,1,153,33,3,1,1,1
Wed Feb 18 15:18:18 2026,12.745625,197852,41.61231646497042,1002.4978770030265,89.9058346408784,0,0,1,0,0,1,153,33,3,1,1,1
Wed Feb 18 15:18:19 2026,12.6909375,198808,41.66562018343016,1002.4835143615578,90.02645155349906,0,0,1,0,0,1,189,45,6,1,1,1
Wed Feb 18 15:18:20 2026,12.638789062499999,198329,41.71329901073455,1002.4716668381697,90.1259476540229,0,0,1,0,0,1,189,45,6,1,1,1
