time,temperature,gas,humidity,pressure,altitude,pm10standard,pm25standard,pm100standard,pm10env,pm25env,pm100 env,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 18 15:13:59 2026,18.7216015625,107097,36.236824657503185,1003.5325414214333,81.22044126970894,0,0,0,0,0,0,300,64,11,1,1,1
Wed Feb 18 15:14:00 2026,18.7188671875,107510,36.213558516064076,1003.5211218020887,81.31626261273168,0,0,0,0,0,0,255,60,12,1,1,1
Wed Feb 18 15:14:01 2026,18.7157421875,108766,36.21325178502744,1003.5124991929756,81.38861499517519,0,0,0,0,0,0,255,60,12,1,1,1
Wed Feb 18 15:14:02 2026,18.71125,109334,36.19556523001184,1003.4981668990738,81.50887850234962,0,0,0,0,0,0,255,60,12,1,1,1
Wed Feb 18 15:14:03 2026,18.7065625,109836,36.183609453162155,1003.4938436286403,81.54515570832298,0,0,0,0,0,0,237,52,9,0,0,0
Wed Feb 18 15:14:04 2026,18.701875,110854,36.16016074680212,1003.4912424027378,81.56698304319083,0,0,0,0,0,0,237,52,9,0,0,0
Wed Feb 18 15:14:05 2026,18.69875,110707,36.15985442788667,1003.4774537264401,81.68268696755602,0,0,0,0,0,0,237,52,9,0,0,0
Wed Feb 18 15:14:06 2026,18.69640625,111965,36.17686589070258,1003.4029655108004,82.3077568180914,0,0,0,0,0,0,231,49,10,0,0,0
Wed Feb 18 15:14:07 2026,18.69640625,112416,36.199857172469656,1003.3960772760666,82.365561521639,0,0,0,0,0,0,231,49,10,0,0,0
Wed Feb 18 15:14:08 2026,18.6942578125,114023,36.21114327866564,1003.3925174822831,82.39543473295858,0,0,0,0,0,0,231,49,10,0,0,0
Wed Feb 18 15:14:09 2026,18.683515625,115597,36.16410795089505,1003.3919388005022,82.40029094459426,0,0,0,0,0,0,213,43,8,0,0,0
Wed Feb 18 15:14:10 2026,18.671015625,115997,36.0709642860995,1003.3953349639389,82.37179087738402,0,0,0,0,0,0,213,43,8,0,0,0
Wed Feb 18 15:14:11 2026,18.6587109375,116400,35.95494361487071,1003.3990539349214,82.3405819498217,0,0,0,0,0,0,213,43,8,0,0,0
Wed Feb 18 15:14:12 2026,18.6489453125,117958,35.81632730810699,1003.3949258634665,82.37522397980098,0,0,0,0,0,0,204,41,8,0,0,0
Wed Feb 18 15:14:13 2026,18.6356640625,118124,35.67177275238057,1003.3832501300282,82.47320525055574,0,0,0,0,0,0,204,41,8,0,0,0
Wed Feb 18 15:14:15 2026,18.6243359375,119643,35.53899533243071,1003.3885854019932,82.42843221191971,0,0,0,0,0,0,204,41,8,0,0,0
Wed Feb 18 15:14:16 2026,18.6159375,119472,35.40662091263387,1003.3918872609254,82.40072345718599,0,0,0,0,0,0,198,38,9,0,0,0
Wed Feb 18 15:14:17 2026,18.6071484375,121114,35.3028937890237,1003.3962632421793,82.36400092658444,0,0,0,0,0,0,198,38,9,0,0,0
Wed Feb 18 15:14:18 2026,18.59796875,121730,35.199203275275494,1003.3965478565257,82.36161249327519,0,0,0,0,0,0,198,38,9,0,0,0
Wed Feb 18 15:14:19 2026,18.591328125,122174,35.11865413751604,1003.3924307435091,82.396162631732,0,0,0,0,0,0,162,32,7,0,0,0
Wed Feb 18 15:14:20 2026,18.58390625,121907,35.066595063305826,1003.3973494512923,82.35488565456183,0,0,0,0,0,0,162,32,7,0,0,0
Wed Feb 18 15:14:21 2026,18.5762890625,122621,35.02594199499708,1003.3933354392843,82.38857056304664,0,0,0,0,0,0,162,32,7,0,0,0
Wed Feb 18 15:14:22 2026,18.569453125,123071,35.00818236223803,1003.3940593586755,82.38249554614275,0,0,0,0,0,0,153,29,6,0,0,0
Wed Feb 18 15:14:23 2026,18.5622265625,123343,34.961883514802864,1003.4027442345015,82.30961372003456,0,0,0,0,0,0,153,29,6,0,0,0
Wed Feb 18 15:14:24 2026,18.551484375,124258,34.926662970931034,1003.403880870487,82.30007532482526,0,0,0,0,0,0,153,29,6,0,0,0
Wed Feb 18 15:14:25 2026,18.539765625,123891,34.87426763309064,1003.4051202091209,82.28967508190826,0,0,0,0,0,0,135,25,6,0,0,0
Wed Feb 18 15:14:26 2026,18.5290234375,124814,34.810596203874795,1003.4028124641924,82.30904115146883,0,0,0,0,0,0,135,25,6,0,0,0
Wed Feb 18 15:14:27 2026,18.5184765625,125656,34.75266444392499,1003.3973847948037,82.3545890582919,0,0,0,0,0,0,135,25,6,0,0,0
Wed Feb 18 15:14:28 2026,18.5063671875,125751,34.70598911707987,1003.3910888741854,82.40742340423401,0,0,0,0,0,0,141,30,6,0,0,0
Wed Feb 18 15:14:29 2026,18.4942578125,127183,34.65933021910837,1003.3916786246738,82.40247430227764,0,0,0,0,0,0,141,30,6,0,0,0
