time,temp,gas,humidity,pressure,alt,stndr10,stndr25,stndr100,enviro10,enviro25,enviro100,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 18 16:44:55 2026,20.1565625,53676,34.377833104635954,1002.8972555156117,86.55242946465559,0,0,0,0,0,0,276,55,6,1,0,0
Wed Feb 18 16:44:56 2026,20.144453125,55125,34.33679712915454,1002.9070564279665,86.47014912160228,0,0,0,0,0,0,276,55,6,1,0,0
Wed Feb 18 16:44:57 2026,20.1200390625,56387,34.24335864669746,1002.8990009449652,86.53777623771003,0,0,0,0,0,0,270,53,5,1,0,0
Wed Feb 18 16:44:58 2026,20.0919140625,57156,34.09275244597921,1002.8896502096121,86.61627776377091,0,0,0,0,0,0,270,53,5,1,0,0
Wed Feb 18 16:44:59 2026,20.055,58028,33.941485168024684,1002.8821745295959,86.67903820492599,0,0,0,0,0,0,270,53,5,1,0,0
Wed Feb 18 16:45:00 2026,20.0145703125,59428,33.79573579932297,1002.8805650792366,86.69255004395536,0,0,0,0,0,0,252,49,4,1,0,0
Wed Feb 18 16:45:01 2026,19.9618359375,60457,33.65466995405505,1002.8918132741181,86.5981182981313,0,0,0,0,0,0,252,49,4,1,0,0
Wed Feb 18 16:45:02 2026,19.8958203125,61208,33.54651269871945,1002.8988579059842,86.53897707766251,0,0,0,0,0,0,252,49,4,1,0,0
Wed Feb 18 16:45:03 2026,19.8317578125,62255,33.46128268513422,1002.8921936551218,86.5949249080781,0,1,1,0,1,1,240,49,4,1,0,0
Wed Feb 18 16:45:04 2026,19.7719921875,63004,33.370863123233924,1002.8895299330497,86.61728751642053,0,1,1,0,1,1,240,49,4,1,0,0
Wed Feb 18 16:45:05 2026,19.71671875,63966,33.32616224756575,1002.8826756509047,86.67483113842333,0,1,1,0,1,1,240,49,4,1,0,0
Wed Feb 18 16:45:06 2026,19.656953125,64608,33.303680829486154,1002.8851008912907,86.65447052842951,0,1,1,0,1,1,252,53,4,2,0,0
Wed Feb 18 16:45:07 2026,19.59796875,65569,33.29258510686284,1002.8718019099592,86.76611989827754,0,1,1,0,1,1,252,53,4,2,0,0
Wed Feb 18 16:45:08 2026,19.545625,66243,33.30471293937475,1002.8597407263564,86.86737858130391,0,1,1,0,1,1,252,53,4,2,0,0
Wed Feb 18 16:45:09 2026,19.5137890625,66931,33.31873279134711,1002.8524381942447,86.92868687318008,0,1,1,0,1,1,240,47,4,2,0,0
Wed Feb 18 16:45:10 2026,19.4993359375,67689,33.4814007205506,1002.8462022090941,86.98104127319523,0,1,1,0,1,1,240,47,4,2,0,0
Wed Feb 18 16:45:11 2026,19.4829296875,68019,33.69504643942024,1002.8399985865649,87.03312423340546,0,1,1,0,1,1,240,47,4,2,0,0
Wed Feb 18 16:45:12 2026,19.4548046875,69486,33.87385072501103,1002.8442241930056,86.9976478215448,0,1,1,0,1,1,222,43,3,2,0,0
Wed Feb 18 16:45:13 2026,19.4212109375,70126,33.97285047939891,1002.8321646127919,87.09889529775508,0,1,1,0,1,1,222,43,3,2,0,0
Wed Feb 18 16:45:14 2026,19.3846875,70838,33.997812028257904,1002.7758108299736,87.57203248609194,0,1,1,0,1,1,222,43,3,2,0,0
Wed Feb 18 16:45:15 2026,19.349140625,72431,33.988805510485385,1002.7654829970872,87.65874562438881,0,1,1,0,1,1,177,47,3,2,0,0
Wed Feb 18 16:45:16 2026,19.310859375,71748,33.96251965457893,1002.7725875920455,87.5990949180244,0,1,1,0,1,1,177,47,3,2,0,0
Wed Feb 18 16:45:17 2026,19.2753125,73576,33.947845848084235,1002.7741847784039,87.5856848699794,0,1,1,0,1,1,177,47,3,2,0,0
Wed Feb 18 16:45:18 2026,19.2440625,72935,33.961946163676835,1002.766159973138,87.6530616684915,0,1,1,0,1,1,243,56,4,3,0,0
Wed Feb 18 16:45:19 2026,19.20890625,75161,33.98135621560245,1002.7598982253703,87.70563602228911,0,1,1,0,1,1,243,56,4,3,0,0
Wed Feb 18 16:45:20 2026,19.182734375,75636,33.99593269687775,1002.7401934536086,87.87108128474378,0,1,1,0,1,1,243,56,4,3,0,0
Wed Feb 18 16:45:21 2026,19.156171875,75773,34.00479801752396,1002.7146972794934,88.08515624337413,0,1,1,0,1,1,237,48,3,2,0,0
