time,temp,gas,humidity,pressure,alt,stndr10,stndr25,stndr100,enviro10,enviro25,enviro100,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 25 14:33:15 2026,18.274921875,60897,62.33581501584533,1008.6613498854908,38.273884797261424,0,0,0,0,0,0,81,21,3,1,0,0
Wed Feb 25 14:33:16 2026,18.281171875,62440,62.270213609767055,1008.6579930494594,38.30193569258465,0,0,0,0,0,0,78,20,3,1,0,0
Wed Feb 25 14:33:17 2026,18.28625,63338,62.22440957372895,1008.659568725438,38.28876878388555,0,0,0,0,0,0,78,20,3,1,0,0
Wed Feb 25 14:33:18 2026,18.2903515625,64558,62.15187313837564,1008.6509106100939,38.36111927970529,0,0,0,0,0,0,78,20,3,1,0,0
Wed Feb 25 14:33:19 2026,18.2946484375,65723,62.11262541439089,1008.6477417247031,38.38759981368613,0,0,0,0,0,0,81,22,3,1,0,0
Wed Feb 25 14:33:20 2026,18.2993359375,66985,62.06679698762761,1008.6521089197432,38.35110571977391,0,0,0,0,0,0,81,22,3,1,0,0
Wed Feb 25 14:33:21 2026,18.30421875,67908,62.027652125725886,1008.6516374118113,38.35504582954457,0,0,0,0,0,0,81,22,3,1,0,0
Wed Feb 25 14:33:22 2026,18.30734375,68801,62.00154011641324,1008.6499584927845,38.369075563763786,0,0,0,0,0,0,96,25,2,1,0,0
Wed Feb 25 14:33:23 2026,18.3114453125,70067,61.962290848422576,1008.6464637870482,38.39827881519951,0,0,0,0,0,0,96,25,2,1,0,0
Wed Feb 25 14:33:24 2026,18.315546875,71018,61.93633209223828,1008.6429689624528,38.42748314180712,0,0,0,0,0,0,96,25,2,1,0,0
Wed Feb 25 14:33:25 2026,18.318671875,72057,61.91023117039789,1008.6498968031302,38.36959106811494,0,0,0,0,0,0,102,26,2,1,0,0
Wed Feb 25 14:33:26 2026,18.3219921875,73318,61.87752235743612,1008.6433788189886,38.4240581919629,0,0,0,0,0,0,102,26,2,1,0,0
Wed Feb 25 14:33:27 2026,18.3253125,74360,61.85809691331103,1008.6471892108211,38.392216858061765,0,0,0,0,0,0,102,26,2,1,0,0
Wed Feb 25 14:33:28 2026,18.3286328125,75364,61.825396060192716,1008.6406710482969,38.44668559094927,0,0,0,0,0,0,126,30,2,1,0,0
Wed Feb 25 14:33:29 2026,18.331171875,76534,61.80585920759734,1008.6431797793275,38.42572145883376,0,0,0,0,0,0,126,30,2,1,0,0
Wed Feb 25 14:33:30 2026,18.3337109375,77240,61.79296135040504,1008.6388027520301,38.46229797749065,0,0,0,0,0,0,126,30,2,1,0,0
Wed Feb 25 14:33:31 2026,18.3352734375,78471,61.76000941319737,1008.6379630255002,38.46931514583595,0,0,0,0,0,0,120,28,2,1,0,0
Wed Feb 25 14:33:32 2026,18.337421875,79213,61.74042053167539,1008.6346565686887,38.49694557295444,0,0,0,0,0,0,120,28,2,1,0,0
Wed Feb 25 14:33:33 2026,18.339375,80045,61.727439588815415,1008.6327461316073,38.51291018586,0,0,0,0,0,0,120,28,2,1,0,0
Wed Feb 25 14:33:34 2026,18.341328125,81368,61.68792182404867,1008.6394429516281,38.45694815760809,0,0,0,0,0,0,135,29,2,1,0,0
Wed Feb 25 14:33:35 2026,18.3423046875,82166,61.654899521630384,1008.6359055311409,38.48650860175434,0,0,0,0,0,0,135,29,2,1,0,0
Wed Feb 25 14:33:36 2026,18.3438671875,83310,61.621969371431774,1008.6350657266304,38.493526438066645,0,0,0,0,0,0,135,29,2,1,0,0
Wed Feb 25 14:33:37 2026,18.3454296875,84232,61.59567532264745,1008.6393903114767,38.45738804426598,0,0,0,0,0,0,150,32,1,0,0,0
Wed Feb 25 14:33:38 2026,18.3469921875,84658,61.56938458301619,1008.6316646008825,38.52194803393562,0,0,0,0,0,0,150,32,1,0,0,0
Wed Feb 25 14:33:39 2026,18.3469921875,86226,61.56938458301619,1008.635107544914,38.493176982972415,0,0,0,0,0,0,150,32,1,0,0,0
Wed Feb 25 14:33:40 2026,18.3481640625,86762,61.52315236308614,1008.6301739747827,38.53440451420491,0,0,0,0,0,0,165,40,2,0,0,0
Wed Feb 25 14:33:41 2026,18.349140625,87671,61.496784050837256,1008.6386868181826,38.463266777518655,0,0,0,0,0,0,165,40,2,0,0,0
Wed Feb 25 14:33:42 2026,18.34875,88598,61.47684380578291,1008.6380360409586,38.46870499252704,0,0,0,0,0,0,165,40,2,0,0,0
Wed Feb 25 14:33:43 2026,18.349140625,89450,61.44376855345286,1008.6352438622821,38.4920378449939,0,0,0,0,0,0,162,39,3,0,0,0
Wed Feb 25 14:33:44 2026,18.3497265625,90318,61.44385524092885,1008.643105943827,38.42633846227301,0,0,0,0,0,0,162,39,3,0,0,0
Wed Feb 25 14:33:45 2026,18.3503125,91402,61.41081418901048,1008.6406391505636,38.44695214362622,0,0,0,0,0,0,162,39,3,0,0,0
Wed Feb 25 14:33:46 2026,18.3512890625,91904,61.404333700183955,1008.637101643542,38.47651328251309,0,0,0,0,0,0,180,44,3,0,0,0
Wed Feb 25 14:33:47 2026,18.3512890625,92513,61.3977090040476,1008.6353801599383,38.49089887186008,0,0,0,0,0,0,180,44,3,0,0,0
Wed Feb 25 14:33:48 2026,18.353828125,93442,61.35834062611405,1008.6430531722954,38.42677944551184,0,0,0,0,0,0,180,44,3,0,0,0
Wed Feb 25 14:33:49 2026,18.3551953125,94603,61.34529644923958,1008.6367234195161,38.47967391243666,0,0,0,0,0,0,192,49,4,0,0,0
Wed Feb 25 14:33:50 2026,18.3563671875,95140,61.33884681307298,1008.633511243529,38.506516506948486,0,0,0,0,0,0,192,49,4,0,0,0
Wed Feb 25 14:33:51 2026,18.35734375,95684,61.319123936901065,1008.6282521681065,38.55046419526218,0,0,0,0,0,0,192,49,4,0,0,0
Wed Feb 25 14:33:53 2026,18.35890625,95279,61.29948947789928,1008.6274122209875,38.55748326640861,0,0,0,0,0,0,177,45,4,0,0,0
Wed Feb 25 14:33:54 2026,18.36046875,96044,61.279856853978266,1008.6248507516705,38.57888837574873,0,0,0,0,0,0,177,45,4,0,0,0
Wed Feb 25 14:33:55 2026,18.361640625,96821,61.273409183983354,1008.626803032834,38.562573988645944,0,0,0,0,0,0,177,45,4,0,0,0
Wed Feb 25 14:33:56 2026,18.363203125,97158,61.24715911224813,1008.6242415322307,38.583979369900575,0,0,0,0,0,0,162,41,4,0,0,0
Wed Feb 25 14:33:57 2026,18.3649609375,98011,61.24079890969493,1008.6271699435317,38.5595078741517,0,0,0,0,0,0,162,41,4,0,0,0
Wed Feb 25 14:33:58 2026,18.3657421875,98762,61.22767549742497,1008.6250284177623,38.57740369438342,0,0,0,0,0,0,162,41,4,0,0,0
Wed Feb 25 14:33:59 2026,18.36828125,99407,61.23466950184047,1008.6206506971522,38.613986539756496,0,0,0,0,0,0,141,38,4,0,0,0
Wed Feb 25 14:34:00 2026,18.368671875,100060,61.2082512901208,1008.6247445067285,38.579776220479765,0,0,0,0,0,0,141,38,4,0,0,0
Wed Feb 25 14:34:01 2026,18.370625,100904,61.20853947353693,1008.6211121419121,38.61013042596218,0,0,0,0,0,0,141,38,4,0,0,0
Wed Feb 25 14:34:02 2026,18.3721875,102134,61.2021515557747,1008.6219936060152,38.60276437838648,0,0,0,0,0,0,141,37,4,0,0,0
Wed Feb 25 14:34:03 2026,18.37453125,102010,61.18264316676453,1008.6190119290081,38.627681097205944,0,0,0,0,0,0,141,37,4,0,0,0
Wed Feb 25 14:34:04 2026,18.376484375,103395,61.18293127489521,1008.6222656610956,38.60049092251513,0,0,0,0,0,0,141,37,4,0,0,0
Wed Feb 25 14:34:05 2026,18.378046875,103523,61.16992663154732,1008.6214255413901,38.60751146963039,0,0,0,0,0,0,126,36,7,0,0,0
Wed Feb 25 14:34:06 2026,18.3794140625,104231,61.16351102198734,1008.6254247071811,38.5740920699029,0,0,0,0,0,0,126,36,7,0,0,0
Wed Feb 25 14:34:07 2026,18.3809765625,104819,61.15050755539459,1008.6228630091812,38.59549912440453,0,0,0,0,0,0,126,36,7,0,0,0
Wed Feb 25 14:34:08 2026,18.381171875,105678,61.14391972341871,1008.6197452572067,38.62155295221599,0,0,0,0,0,0,117,33,7,0,0,0
Wed Feb 25 14:34:09 2026,18.3837109375,106282,61.13767766269976,1008.6222535116915,38.60059245023228,0,0,0,0,0,0,117,33,7,0,0,0
Wed Feb 25 14:34:10 2026,18.385078125,106892,61.124646963924505,1008.6245311071242,38.58155951232189,0,0,0,0,0,0,117,33,7,0,0,0
Wed Feb 25 14:34:11 2026,18.385859375,107925,61.1313781765539,1008.6241110162778,38.58507003790823,0,0,0,0,0,0,90,24,6,0,0,0
Wed Feb 25 14:34:12 2026,18.388203125,108065,61.10526074434087,1008.6280154639009,38.552442228428504,0,0,0,0,0,0,90,24,6,0,0,0
Wed Feb 25 14:34:13 2026,18.3891796875,109049,61.105404678825,1008.6330854859889,38.51007436110849,0,0,0,0,0,0,90,24,6,0,0,0
